NAME,CEEPR_NAMES,TERRITORIES_TO_MAP,STATES _W_SRVC_TERRITORY,CEEPR_NAMES,ISO/RTO
"4 RIVERS ELECTRIC COOPERATIVE, INC.",AES Indiana,AES INDIANA,IL,AES Indiana,MISO
4-COUNTY ELECTRIC POWER ASSN,Ameren Illinois Company,AMEREN ILLINOIS COMPANY,"WV, VA, TN",Ameren Illinois Company,MISO
A & N ELECTRIC COOP,Appalachian Power Co,APPALACHIAN POWER CO,NJ,Appalachian Power Co,PJM
ACCESS ENERGY COOP,Atlantic City Electric Co,ATLANTIC CITY ELECTRIC CO,MD,Atlantic City Electric Co,PJM
ADAMS ELECTRIC COOP,Baltimore Gas & Electric Co,BALTIMORE GAS & ELECTRIC CO,PA,Baltimore Gas & Electric Co,PJM
ADAMS ELECTRIC COOPERATIVE INC,Citizens Electric Co - (PA),CITIZENS ELECTRIC CO - (PA),TN,Citizens Electric Co - (PA),PJM
"ADAMS RURAL ELECTRIC COOP, INC",City of Chattanooga - (TN),CITY OF CHATTANOOGA - (TN),TN,City of Chattanooga - (TN),TVA (Non-ISO)
ADAMS-COLUMBIA ELECTRIC COOP,City of Memphis - (TN),CITY OF MEMPHIS - (TN),OH,City of Memphis - (TN),TVA (Non-ISO)
ADRIAN PUBLIC UTILITIES COMM,Cleveland Electric Illum Co,CLEVELAND ELECTRIC ILLUM CO,IL,Cleveland Electric Illum Co,PJM
AEP TEXAS CENTRAL COMPANY,Commonwealth Edison Co,COMMONWEALTH EDISON CO,OH,Commonwealth Edison Co,PJM
AEP TEXAS NORTH COMPANY,Dayton Power & Light Co,DAYTON POWER & LIGHT CO,"DE, MD",Dayton Power & Light Co,PJM
AGC DIVISION OF APGI INC,Delmarva Power,DELMARVA POWER,MISO,Delmarva Power,PJM
AGRALITE ELECTRIC COOP,"Duke Energy Indiana, LLC","DUKE ENERGY INDIANA, LLC",KY,"Duke Energy Indiana, LLC",MISO
AHA MACAV POWER SERVICE,Duke Energy Kentucky,DUKE ENERGY KENTUCKY,OH,Duke Energy Kentucky,PJM
AIKEN ELECTRIC COOP INC,Duke Energy Ohio Inc,DUKE ENERGY OHIO INC,PA,Duke Energy Ohio Inc,PJM
AITKIN PUBLIC UTILITIES COMM,Duquesne Light Co,DUQUESNE LIGHT CO,"IN, MI",Duquesne Light Co,PJM
AJO IMPROVEMENT CO,Indiana Michigan Power Co,INDIANA MICHIGAN POWER CO,MISO,Indiana Michigan Power Co,PJM
AK-CHIN ELECTRIC UTILITY AUTHORITY,Jersey Central Power & Lt Co,JERSEY CENTRAL POWER & LT CO,NJ,Jersey Central Power & Lt Co,PJM
AKIACHAK NATIVE COMMUNITY ELECTRIC,Kentucky Power Co,KENTUCKY POWER CO,KY,Kentucky Power Co,PJM
ALABAMA POWER CO,Kentucky Utilities Co,KENTUCKY UTILITIES CO,KY,Kentucky Utilities Co,LGE-KU (Non-ISO)
ALAMEDA MUNICIPAL POWER,Knoxville Utilities Board,KNOXVILLE UTILITIES BOARD,TN,Knoxville Utilities Board,TVA (Non-ISO)
ALAMO POWER DISTRICT NO 3,Louisville Gas & Electric Co,LOUISVILLE GAS & ELECTRIC CO,KY,Louisville Gas & Electric Co,LGE-KU (Non-ISO)
ALASKA ELECTRIC LIGHT & POWER CO.,Metropolitan Edison Co,METROPOLITAN EDISON CO,PA,Metropolitan Edison Co,PJM
ALASKA POWER AND TELEPHONE CO,Middle Tennessee E M C,MIDDLE TENNESSEE E M C,TN,Middle Tennessee E M C,TVA (Non-ISO)
"ALASKA VILLAGE ELEC COOP, INC",Monongahela Power Co,MONONGAHELA POWER CO,WV,Monongahela Power Co,PJM
ALBANY UTILITY BOARD,Nashville Electric Service,NASHVILLE ELECTRIC SERVICE,TN,Nashville Electric Service,TVA (Non-ISO)
ALBEMARLE ELECTRIC MEMBER CORP,Northern Indiana Pub Serv Co,NORTHERN INDIANA PUB SERV CO,MISO,Northern Indiana Pub Serv Co,MISO
ALBERTVILLE MUNICIPAL UTILITIES BOARD,Ohio Edison Co,OHIO EDISON CO,OH,Ohio Edison Co,PJM
ALCORN COUNTY ELEC POWER ASSN,Ohio Power Co,OHIO POWER CO,OH,Ohio Power Co,PJM
"ALFALFA ELECTRIC COOP, INC",PECO Energy Co,PECO ENERGY CO,PA,PECO Energy Co,PJM
ALGER-DELTA COOP ELECTRIC ASSN,Pennsylvania Electric Co,PENNSYLVANIA ELECTRIC CO,PA,Pennsylvania Electric Co,PJM
ALGOMA UTILITY COMM,Pennsylvania Power Co,PENNSYLVANIA POWER CO,PA,Pennsylvania Power Co,PJM
"ALLAMAKEE-CLAYTON EL COOP, INC",Pike County Light & Power Co,PIKE COUNTY LIGHT & POWER CO,PA,Pike County Light & Power Co,PJM
"ALLETE, INC.",Potomac Electric Power Co,POTOMAC ELECTRIC POWER CO,"DC, MD",Potomac Electric Power Co,PJM
ALPENA POWER CO,PPL Electric Utilities Corp,PPL ELECTRIC UTILITIES CORP,PA,PPL Electric Utilities Corp,PJM
ALTAMAHA ELECTRIC MEMBER CORP,Public Service Elec & Gas Co,PUBLIC SERVICE ELEC & GAS CO,NJ,Public Service Elec & Gas Co,PJM
AMANA SOCIETY SERVICE CO,Rockland Electric Co,ROCKLAND ELECTRIC CO,NJ,Rockland Electric Co,PJM
AMEREN ILLINOIS COMPANY,Southern Indiana Gas & Elec Co,SOUTHERN INDIANA GAS & ELEC CO,MISO,Southern Indiana Gas & Elec Co,MISO
AMERICAN SAMOA POWER AUTHORITY,Southern Maryland Elec Coop Inc,SOUTHERN MARYLAND ELEC COOP INC,MD,Southern Maryland Elec Coop Inc,PJM
AMICALOLA ELECTRIC MEMBER CORP,The Potomac Edison Company,THE POTOMAC EDISON COMPANY,"MD, WV",The Potomac Edison Company,PJM
ANADARKO PUBLIC WORKS AUTHORITY,The Toledo Edison Co,THE TOLEDO EDISON CO,OH,The Toledo Edison Co,PJM
ANIAK LIGHT & POWER CO INC,"UGI Utilities, Inc","UGI UTILITIES, INC",PA,"UGI Utilities, Inc",PJM
ANZA ELECTRIC COOP INC,Virginia Electric & Power Co,VIRGINIA ELECTRIC & POWER CO,"VA, NC",Virginia Electric & Power Co,PJM
APPALACHIAN ELECTRIC COOP,Wellsborough Electric Co,WELLSBOROUGH ELECTRIC CO,PA,Wellsborough Electric Co,PJM
APPALACHIAN POWER CO,West Penn Power Company,WEST PENN POWER COMPANY,PA,West Penn Power,PJM
ARAB ELECTRIC COOP INC,,,,,
ARIZONA PUBLIC SERVICE CO,,,,,
"ARK VALLEY ELEC COOP ASSN, INC",,,,,
ARKANSAS VALLEY ELEC COOP CORP,,,,,
"ARROWHEAD ELECTRIC COOP, INC",,,,,
"ASHLEY CHICOT ELEC COOP, INC",,,,,
ATCHISON-HOLT ELECTRIC COOP,,,,,
ATCO ELECTRIC,,,,,
ATHENS UTILITY BOARD,,,,,
ATLANTIC CITY ELECTRIC CO,,,,,
ATLANTIC MUNICIPAL UTILITIES,,,,,
ATMAUTLUAK TRIBAL UTILITIES,,,,,
AUBURN BOARD OF PUBLIC WORKS,,,,,
AUSTIN ENERGY,,,,,
AVISTA CORP,,,,,
BADGER POWER MARKETING AUTHORITY,,,,,
BAGLEY PUBLIC UTILITIES COMM,,,,,
BAILEY COUNTY ELEC COOP ASSN,,,,,
BALDWIN COUNTY EL MEMBER CORP,,,,,
BALTIMORE GAS & ELECTRIC CO,,,,,
BAMBERG BOARD OF PUBLIC WORKS,,,,,
BANCROFT MUNICIPAL UTILITIES,,,,,
"BANDERA ELECTRIC COOP, INC",,,,,
BARBOURVILLE UTILITY COMM,,,,,
BARC ELECTRIC COOP INC,,,,,
BARRON ELECTRIC COOP,,,,,
"BARROW UTILS & ELEC COOP, INC",,,,,
BARRY ELECTRIC COOP,,,,,
BARTHOLOMEW COUNTY RURAL E M C,,,,,
"BARTLETT ELECTRIC COOP, INC",,,,,
"BARTON COUNTY ELEC COOP, INC",,,,,
"BARTON VILLAGE, INC",,,,,
BASIN ELECTRIC POWER COOP,,,,,
BATH ELECTRIC GAS & WATER,,,,,
"BAYFIELD ELECTRIC COOP, INC",,,,,
BC HYDRO,,,,,
BEACHES ENERGY SERVICES,,,,,
BEAR VALLEY ELECTRIC SERVICE,,,,,
"BEARTOOTH ELECTRIC COOP, INC",,,,,
"BEAUREGARD ELECTRIC COOP, INC",,,,,
BEAVER CITY CORPORATION,,,,,
"BEDFORD RURAL ELEC COOP, INC",,,,,
"BELTRAMI ELECTRIC COOP, INC",,,,,
BENCO ELECTRIC COOPERATIVE,,,,,
BENTON COUNTY,,,,,
BENTON RURAL ELECTRIC ASSN,,,,,
BERKELEY ELECTRIC COOP INC,,,,,
"BIG BEND ELECTRIC COOP, INC",,,,,
"BIG COUNTRY ELECTRIC COOP, INC",,,,,
BIG FLAT ELECTRIC COOP INC,,,,,
"BIG HORN COUNTY ELEC COOP, INC",,,,,
BIG HORN RURAL ELECTRIC CO,,,,,
BIG SANDY RURAL ELEC COOP CORP,,,,,
BIRCH CREEK VILLAGE ELEC UTIL - (AK),,,,,
BLACHLY-LANE COUNTY COOP EL ASSN,,,,,
BLACK DIAMOND POWER CO,,,,,
"BLACK HILLS COLORADO ELECTRIC, LLC",,,,,
"BLACK HILLS ELECTRIC COOP, INC",,,,,
"BLACK HILLS POWER, INC.",,,,,
BLACK RIVER ELECTRIC COOP - (MO),,,,,
"BLACK RIVER ELECTRIC COOP, INC - (SC)",,,,,
BLACK WARRIOR ELEC MEMBER CORP,,,,,
